source,target,following,followed_by
SenDougJones,SenBillNelson,FALSE,FALSE
SenDougJones,marcorubio,FALSE,FALSE
SenDougJones,sendavidperdue,FALSE,TRUE
SenDougJones,SenatorIsakson,FALSE,FALSE
SenDougJones,brianschatz,FALSE,FALSE
SenDougJones,maziehirono,FALSE,FALSE
SenDougJones,MikeCrapo,TRUE,TRUE
SenDougJones,SenatorRisch,FALSE,FALSE
SenDougJones,SenDuckworth,TRUE,TRUE
SenDougJones,SenatorDurbin,FALSE,TRUE
SenDougJones,SenDonnelly,FALSE,TRUE
SenDougJones,SenToddYoung,FALSE,FALSE
SenDougJones,ChuckGrassley,FALSE,FALSE
SenDougJones,joniernst,FALSE,FALSE
SenDougJones,SenPatRoberts,FALSE,FALSE
SenDougJones,JerryMoran,FALSE,FALSE
SenDougJones,SenateMajLdr,FALSE,TRUE
SenDougJones,RandPaul,FALSE,FALSE
SenDougJones,BillCassidy,FALSE,FALSE
SenDougJones,SenJohnKennedy,TRUE,TRUE
SenDougJones,SenAngusKing,FALSE,FALSE
SenDougJones,SenatorCollins,FALSE,FALSE
SenDougJones,ChrisVanHollen,TRUE,TRUE
SenDougJones,SenatorCardin,TRUE,TRUE
SenDougJones,SenMarkey,TRUE,TRUE
SenDougJones,SenWarren,TRUE,TRUE
SenDougJones,SenGaryPeters,TRUE,TRUE
SenDougJones,SenStabenow,TRUE,TRUE
SenDougJones,amyklobuchar,FALSE,FALSE
SenDougJones,SenTinaSmith,TRUE,TRUE
SenDougJones,SenThadCochran,FALSE,FALSE
SenDougJones,SenatorWicker,FALSE,FALSE
SenDougJones,clairecmc,FALSE,FALSE
SenDougJones,RoyBlunt,FALSE,FALSE
SenDougJones,SteveDaines,FALSE,FALSE
SenDougJones,SenatorTester,TRUE,TRUE
SenDougJones,SenatorFischer,FALSE,FALSE
SenDougJones,BenSasse,FALSE,FALSE
SenDougJones,SenCortezMasto,TRUE,TRUE
SenDougJones,SenDeanHeller,FALSE,FALSE
SenDougJones,SenatorShaheen,TRUE,TRUE
SenDougJones,SenatorHassan,TRUE,TRUE
SenDougJones,CoryBooker,FALSE,FALSE
SenDougJones,SenatorMenendez,TRUE,TRUE
SenDougJones,MartinHeinrich,TRUE,TRUE
SenDougJones,SenatorTomUdall,FALSE,TRUE
SenDougJones,SenSchumer,TRUE,TRUE
SenDougJones,SenGillibrand,FALSE,FALSE
SenDougJones,SenatorBurr,FALSE,FALSE
SenDougJones,SenThomTillis,FALSE,FALSE
SenDougJones,SenatorHeitkamp,TRUE,TRUE
SenDougJones,SenJohnHoeven,FALSE,FALSE
SenDougJones,SenSherrodBrown,TRUE,TRUE
SenDougJones,senrobportman,FALSE,FALSE
SenDougJones,JimInhofe,FALSE,FALSE
SenDougJones,SenatorLankford,FALSE,FALSE
SenDougJones,RonWyden,FALSE,TRUE
SenDougJones,SenJeffMerkley,TRUE,TRUE
SenDougJones,SenBobCasey,FALSE,FALSE
