State,Senator,Official Twitter,Staff Twitter,Campaign Twitter,Party affiliation,label
North Dakota,"Heitkamp, Heidi",SenatorHeitkamp,,HeidiHeitkamp,Democratic Party,Heitkamp(D)
North Dakota,"Hoeven, John",SenJohnHoeven,,hoeven4senate,Republican Party,Hoeven(R)
Ohio,"Brown, Sherrod",SenSherrodBrown,,SherrodBrown,Democratic Party,Brown(D)
Ohio,"Portman, Rob",SenRobPortman,PortmanPress,robportman,Republican Party,Portman(R)
Oklahoma,"Inhofe, Jim",jiminhofe,InhofePress,,Republican Party,Inhofe(R)
Oklahoma,"Lankford, James",SenatorLankford,,jameslankford,Republican Party,Lankford(R)
Oregon,"Wyden, Ron",RonWyden,WydenPress,WydenForOregon,Democratic Party,Wyden(D)
Oregon,"Merkley, Jeff",SenJeffMerkley,,JeffMerkley,Democratic Party,Merkley(D)
Pennsylvania,"Casey, Bob",SenBobCasey,,Bob_Casey,Democratic Party,Casey(D)
Pennsylvania,"Toomey, Pat",SenToomey,,PatToomey,Republican Party,Toomey(R)
Rhode Island,"Reed, Jack",SenJackReed,,,Democratic Party,Reed(D)
Rhode Island,"Whitehouse, Sheldon",SenWhitehouse,,SheldonforRI,Democratic Party,Whitehouse(D)
South Carolina,"Graham, Lindsey",GrahamBlog,LindseyGrahamSC,sengraham2016,Republican Party,Graham(R)
South Carolina,"Scott, Tim",SenatorTimScott,,votetimscott,Republican Party,Scott(R)
South Dakota,"Rounds, Mike",SenatorRounds,,RoundsforSenate,Republican Party,Rounds(R)
South Dakota,"Thune, John",SenJohnThune,,johnthune,Republican Party,Thune(R)
Tennessee,"Alexander, Lamar",SenAlexander,,LamarAlexander,Republican Party,Alexander(R)
Tennessee,"Corker, Bob",BobCorker,SenBobCorker,,Republican Party,Corker(R)
Texas,"Cornyn, John",JohnCornyn,,TeamCornyn,Republican Party,Cornyn(R)
Texas,"Cruz, Ted",SenTedCruz,,tedcruz,Republican Party,Cruz(R)
Utah,"Hatch, Orrin",SenOrrinHatch,,OrrinHatch,Republican Party,Hatch(R)
Utah,"Lee, Mike",SenMikeLee,,,Republican Party,Lee(R)
Vermont,"Leahy, Patrick",SenatorLeahy,,,Democratic Party,Leahy(D)
Vermont,"Sanders, Bernie",SenSanders,,,Independent,Sanders(I)
Virginia,"Kaine, Tim",timkaine,,,Democratic Party,Kaine(D)
Virginia,"Warner, Mark",MarkWarner,,MarkWarnerVA,Democratic Party,Warner(D)
Washington,"Murray, Patty",PattyMurray,,MurrayCampaign,Democratic Party,Murray(D)
Washington,"Cantwell, Maria",SenatorCantwell,,MariaCantwell,Democratic Party,Cantwell(D)
West Virginia,"Capito, Shelley Moore",SenCapito,,CapitoforWV,Republican Party,Capito(R)
West Virginia,"Manchin, Joe",Sen_JoeManchin,,JoeManchinWV,Democratic Party,Manchin(D)
Wisconsin,"Baldwin, Tammy",SenatorBaldwin,,tammybaldwin,Democratic Party,Baldwin(D)
Wisconsin,"Johnson, Ron",SenRonJohnson,,,Republican Party,Johnson(R)
Wyoming,"Enzi, Mike",SenatorEnzi,,EnziforWyo,Republican Party,Enzi(R)
Wyoming,"Barrasso, John",SenJohnBarrasso,,barrassoforwyo,Republican Party,Barrasso(R)
