"Official.Twitter","State","Senator","Staff.Twitter","Campaign.Twitter","Party.affiliation","label","followers_count"
"SenateMajLdr","Kentucky","McConnell, Mitch","McConnellPress","Team_Mitch","Republican Party","McConnell(R)",548579
"SenatorBaldwin","Wisconsin","Baldwin, Tammy","","tammybaldwin","Democratic Party","Baldwin(D)",94739
"SenatorBurr","North Carolina","Burr, Richard","","Burrforsenate","Republican Party","Burr(R)",119984
"SenatorCantwell","Washington","Cantwell, Maria","","MariaCantwell","Democratic Party","Cantwell(D)",219517
"SenatorCardin","Maryland","Cardin, Ben","","BenCardinforMD","Democratic Party","Cardin(D)",240747
"SenatorCarper","Delaware","Carper, Tom","","TomCarperforDE","Democratic Party","Carper(D)",79756
"SenatorCollins","Maine","Collins, Susan","","collins4senator","Republican Party","Collins(R)",380425
"SenatorDurbin","Illinois","Durbin, Dick","","DickDurbin","Democratic Party","Durbin(D)",540431
"SenatorEnzi","Wyoming","Enzi, Mike","","EnziforWyo","Republican Party","Enzi(R)",64329
"SenatorFischer","Nebraska","Fischer, Deb","","DebFischerNE","Republican Party","Fischer(R)",56834
"SenatorHassan","New Hampshire","Hassan, Maggie","","Maggie_Hassan","Democratic Party","Hassan(D)",136420
"SenatorHeitkamp","North Dakota","Heitkamp, Heidi","","HeidiHeitkamp","Democratic Party","Heitkamp(D)",72254
"SenatorIsakson","Georgia","Isakson, Johnny","","JohnnyIsakson","Republican Party","Isakson(R)",54781
"SenatorLankford","Oklahoma","Lankford, James","","jameslankford","Republican Party","Lankford(R)",62398
"SenatorLeahy","Vermont","Leahy, Patrick","","","Democratic Party","Leahy(D)",140199
"SenatorMenendez","New Jersey","Menendez, Bob","","Menendez4NJ","Democratic Party","Menendez(D)",144302
"SenatorRisch","Idaho","Risch, Jim","","JimRisch","Republican Party","Risch(R)",52994
"SenatorRounds","South Dakota","Rounds, Mike","","RoundsforSenate","Republican Party","Rounds(R)",17926
"SenatorShaheen","New Hampshire","Shaheen, Jeanne","","JeanneShaheen","Democratic Party","Shaheen(D)",84913
"SenatorTester","Montana","Tester, Jon","","jontester","Democratic Party","Tester(D)",90883
"SenatorTimScott","South Carolina","Scott, Tim","","votetimscott","Republican Party","Scott(R)",370577
"SenatorTomUdall","New Mexico","Udall, Tom","TomUdallPress","tomudall","Democratic Party","Udall(D)",147777
"SenatorWicker","Mississippi","Wicker, Roger","","RogerWicker","Republican Party","Wicker(R)",60028
"SteveDaines","Montana","Daines, Steve","","DainesforMT","Republican Party","Daines(R)",38609
"amyklobuchar","Minnesota","Klobuchar, Amy","KlobucharOffice","","Democratic Party","Klobuchar(D)",426373
"brianschatz","Hawaii","Schatz, Brian","SenBrianSchatz","SchatzforHawaii","Democratic Party","Schatz(D)",109162
"clairecmc","Missouri","McCaskill, Claire","McCaskillOffice","McCaskill2018","Democratic Party","McCaskill(D)",462295
"joniernst","Iowa","Ernst, Joni","SenJoniErnst","","Republican Party","Ernst(R)",35995
"lisamurkowski","Alaska","Murkowski, Lisa","","LisaForSenate","Republican Party","Murkowski(R)",170749
"marcorubio","Florida","Rubio, Marco","SenRubioPress","TeamMarco","Republican Party","Rubio(R)",3658662
"maziehirono","Hawaii","Hirono, Mazie","","mazieforhawaii","Democratic Party","Hirono(D)",207229
"timkaine","Virginia","Kaine, Tim","","","Democratic Party","Kaine(D)",1000040
